AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccesRights,DataType
30011,WVI-00000002.GK-TST-02.Alarms.Alarm_30011,GK-TST-02.Alarms.Alarm_30011,30011,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30012,WVI-00000002.GK-TST-02.Alarms.Alarm_30012,GK-TST-02.Alarms.Alarm_30012,30012,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30013,WVI-00000002.GK-TST-02.Alarms.Alarm_30013,GK-TST-02.Alarms.Alarm_30013,30013,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30014,WVI-00000002.GK-TST-02.Alarms.Alarm_30014,GK-TST-02.Alarms.Alarm_30014,30014,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30015,WVI-00000002.GK-TST-02.Alarms.Alarm_30015,GK-TST-02.Alarms.Alarm_30015,30015,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30016,WVI-00000002.GK-TST-02.Alarms.Alarm_30016,GK-TST-02.Alarms.Alarm_30016,30016,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30017,WVI-00000002.GK-TST-02.Alarms.Alarm_30017,GK-TST-02.Alarms.Alarm_30017,30017,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30018,WVI-00000002.GK-TST-02.Alarms.Alarm_30018,GK-TST-02.Alarms.Alarm_30018,30018,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30019,WVI-00000002.GK-TST-02.Alarms.Alarm_30019,GK-TST-02.Alarms.Alarm_30019,30019,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30020,WVI-00000002.GK-TST-02.Alarms.Alarm_30020,GK-TST-02.Alarms.Alarm_30020,30020,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30021,WVI-00000002.GK-TST-02.Alarms.Alarm_30021,GK-TST-02.Alarms.Alarm_30021,30021,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30022,WVI-00000002.GK-TST-02.Alarms.Alarm_30022,GK-TST-02.Alarms.Alarm_30022,30022,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30023,WVI-00000002.GK-TST-02.Alarms.Alarm_30023,GK-TST-02.Alarms.Alarm_30023,30023,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30024,WVI-00000002.GK-TST-02.Alarms.Alarm_30024,GK-TST-02.Alarms.Alarm_30024,30024,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30025,WVI-00000002.GK-TST-02.Alarms.Alarm_30025,GK-TST-02.Alarms.Alarm_30025,30025,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30026,WVI-00000002.GK-TST-02.Alarms.Alarm_30026,GK-TST-02.Alarms.Alarm_30026,30026,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30027,WVI-00000002.GK-TST-02.Alarms.Alarm_30027,GK-TST-02.Alarms.Alarm_30027,30027,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30028,WVI-00000002.GK-TST-02.Alarms.Alarm_30028,GK-TST-02.Alarms.Alarm_30028,30028,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31000,WVI-00000002.GK-TST-02.Alarms.Alarm_31000,GK-TST-02.Alarms.Alarm_31000,31000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31001,WVI-00000002.GK-TST-02.Alarms.Alarm_31001,GK-TST-02.Alarms.Alarm_31001,31001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31002,WVI-00000002.GK-TST-02.Alarms.Alarm_31002,GK-TST-02.Alarms.Alarm_31002,31002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31003,WVI-00000002.GK-TST-02.Alarms.Alarm_31003,GK-TST-02.Alarms.Alarm_31003,31003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31004,WVI-00000002.GK-TST-02.Alarms.Alarm_31004,GK-TST-02.Alarms.Alarm_31004,31004,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31005,WVI-00000002.GK-TST-02.Alarms.Alarm_31005,GK-TST-02.Alarms.Alarm_31005,31005,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31006,WVI-00000002.GK-TST-02.Alarms.Alarm_31006,GK-TST-02.Alarms.Alarm_31006,31006,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
31007,WVI-00000002.GK-TST-02.Alarms.Alarm_31007,GK-TST-02.Alarms.Alarm_31007,31007,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
32000,WVI-00000002.GK-TST-02.Alarms.Alarm_32000,GK-TST-02.Alarms.Alarm_32000,32000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
32001,WVI-00000002.GK-TST-02.Alarms.Alarm_32001,GK-TST-02.Alarms.Alarm_32001,32001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
32002,WVI-00000002.GK-TST-02.Alarms.Alarm_32002,GK-TST-02.Alarms.Alarm_32002,32002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
32003,WVI-00000002.GK-TST-02.Alarms.Alarm_32003,GK-TST-02.Alarms.Alarm_32003,32003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
32004,WVI-00000002.GK-TST-02.Alarms.Alarm_32004,GK-TST-02.Alarms.Alarm_32004,32004,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33000,WVI-00000002.GK-TST-02.Alarms.Alarm_33000,GK-TST-02.Alarms.Alarm_33000,33000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33001,WVI-00000002.GK-TST-02.Alarms.Alarm_33001,GK-TST-02.Alarms.Alarm_33001,33001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33002,WVI-00000002.GK-TST-02.Alarms.Alarm_33002,GK-TST-02.Alarms.Alarm_33002,33002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33003,WVI-00000002.GK-TST-02.Alarms.Alarm_33003,GK-TST-02.Alarms.Alarm_33003,33003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33004,WVI-00000002.GK-TST-02.Alarms.Alarm_33004,GK-TST-02.Alarms.Alarm_33004,33004,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33005,WVI-00000002.GK-TST-02.Alarms.Alarm_33005,GK-TST-02.Alarms.Alarm_33005,33005,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33006,WVI-00000002.GK-TST-02.Alarms.Alarm_33006,GK-TST-02.Alarms.Alarm_33006,33006,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33007,WVI-00000002.GK-TST-02.Alarms.Alarm_33007,GK-TST-02.Alarms.Alarm_33007,33007,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33008,WVI-00000002.GK-TST-02.Alarms.Alarm_33008,GK-TST-02.Alarms.Alarm_33008,33008,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
33009,WVI-00000002.GK-TST-02.Alarms.Alarm_33009,GK-TST-02.Alarms.Alarm_33009,33009,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
